reward_name,quest_id,quest_state,platform,file,file_path
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q136,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q136,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q137,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q136,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q137,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
PurpurnesBanner1Kettchen,Q100,,P5,n1956.lua,p5/n1956.lua
PurpurnesBanner2,Q100,,P5,n1956.lua,p5/n1956.lua
Kopfjagd6Complete,Q463,,P5,n1957.lua,p5/n1957.lua
FeineStoffe1,Q413,,P6,n1988.lua,P6/n1988.lua
AlterMannUndMusik,Q410,,P6,n1989.lua,P6/n1989.lua
KoenigDerSpinnen,Q107,,P6,n1987.lua,P6/n1987.lua
AmraUndLea2Sentos,Q385,,P6,n2898.lua,P6/n2898.lua
AmWildlandPass1,Q99,,P6,n0.lua,P6/n0.lua
AmWildlandPass2,Q99,,P6,n0.lua,P6/n0.lua
EndeDesOrdens2DreiItems,Q522,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q390,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
AmraUndLea4,Q521,,P7,n4010.lua,P7/n4010.lua
EndeDesOrdens1Erreichen,Q521,,P7,n4009.lua,P7/n4009.lua
Marcia1,Q122,,P9,n2016.lua,P9/n2016.lua
Eisenkarren1,Q3309,,P9,n3309.lua,P9/n3309.lua
SchlachtUmBrunnenfels2a,Q117,,P9,n2017.lua,P9/n2017.lua
SchlachtUmBrunnenfels2,Q117,,P9,n2017.lua,P9/n2017.lua
Eisenkarren7,Q3315,,P9,n3315.lua,P9/n3315.lua
Eisenkarren6,Q3314,,P9,n3314.lua,P9/n3314.lua
SchlachtUmBrunnenfels1,Q122,,P9,n0.lua,P9/n0.lua
Eisenkarren2,Q3310,,P9,n3310.lua,P9/n3310.lua
Eisenkarren3,Q3311,,P9,n3311.lua,P9/n3311.lua
Eisenkarren5,Q3313,,P9,n3313.lua,P9/n3313.lua
Eisenkarren4,Q3312,,P9,n3312.lua,P9/n3312.lua
JeGroesser2,Q158,,P10,n2189.lua,P10/n2189.lua
InsGrauschattental1,Q403,,P10,n2177.lua,P10/n2177.lua
Erdenklinge2,Q166,,P10,n2177.lua,P10/n2177.lua
Zwergendienste2Cronvig,Q488,,P10,n2577.lua,P10/n2577.lua
WeisseSchatten1,Q164,,P10,n2263.lua,P10/n2263.lua
WeisseSchatten2,Q164,,P10,n2262.lua,P10/n2262.lua
FeineStoffe2Miria,Q480,,P10,n2183.lua,P10/n2183.lua
Reisserfell,Q481,,P10,n2183.lua,P10/n2183.lua
JeGroesser1,Q151,,P10,n2182.lua,P10/n2182.lua
InsGrauschattental2,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q145,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q145,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental3,Q141,,P10,n2184.lua,P10/n2184.lua
InsGrauschattental4,Q141,,P10,n2184.lua,P10/n2184.lua
Erdenklinge3,Q176,,P10,n2179.lua,P10/n2179.lua
Erdenklinge4,Q170,,P10,n2179.lua,P10/n2179.lua
InsGrauschattental4,Q138,,P10,n2178.lua,P10/n2178.lua
Erdklinge11,Q482,,P11,n2266.lua,P11/n2266.lua
Erdklinge12,Q482,,P11,n2266.lua,P11/n2266.lua
Erdklinge12,Q269,,P11,n2266.lua,P11/n2266.lua
Riesenaerger1,Q186,,P11,n2264.lua,P11/n2264.lua
Riesenaerger2,Q186,,P11,n2264.lua,P11/n2264.lua
Riesenaerger2,Q189,,P11,n2264.lua,P11/n2264.lua
Giftzwerg,Q509,,P11,n2680.lua,P11/n2680.lua
Grenzkrieg1Festung,Q210,,P12,n2322.lua,P12/n2322.lua
Verraeter,Q199,,P12,n2332.lua,P12/n2332.lua
Grenzkrieg2Canyon,Q190,,P12,n0.lua,P12/n0.lua
MaskeDesBelial1,Q190,,P12,n0.lua,P12/n0.lua
MaskeDesBelial2,Q190,,P12,n0.lua,P12/n0.lua
Schattenwelt4Kristall,Q421,,P15,n3256.lua,P15/n3256.lua
Trickster1Cassius,Q221,,P15,n4199.lua,P15/n4199.lua
Homunculus,Q2480,,P15,n2480.lua,P15/n2480.lua
Homunculus,Q2480,,P15,n2480.lua,P15/n2480.lua
KlagendeSteine1BisTor,Q225,,P15,n0.lua,P15/n0.lua
KlagendeSteine2Korshar,Q238,,P15,n0.lua,P15/n0.lua
MaskeDesBelial2,Q239,,P15,n0.lua,P15/n0.lua
FluesterndeStadt5Maske,Q244,,P16,n2576_CutsceneHokanII_mask.lua,p16/n2576_CutsceneHokanII_mask.lua
FluesterndeStadt5Maske,Q244,,P16,n2576_CutsceneHokanI_mask.lua,p16/n2576_CutsceneHokanI_mask.lua
MosaikDesTodes,Q3616,,P16,n3616.lua,p16/n3616.lua
MaskeDesBelial2,Q493,,P16,n0.lua,p16/n0.lua
FluesterndeStadt1Item1,Q493,,P16,n0.lua,p16/n0.lua
FluesterndeStadt1Item2,Q493,,P16,n0.lua,p16/n0.lua
FluesterndeStadt1Item3,Q217,,P16,n0.lua,p16/n0.lua
FluesterndeStadt4Endkampf,Q212,,P16,n0.lua,p16/n0.lua
AmraLeaGrab,Q211,,P16,n0.lua,p16/n0.lua
AufDemWall4Village4,Q250,,P17,n2613.lua,p17/n2613.lua
AufDemWall4Village4,Q250,,P17,n2613.lua,p17/n2613.lua
AufDemWall4Village4,Q250,,P17,n2613.lua,p17/n2613.lua
AufDemWall4Village4,Q250,,P17,n2613.lua,p17/n2613.lua
AufDemWall1Village1,Q2615,,P17,n2615.lua,p17/n2615.lua
AufDemWall2Village2,Q2614,,P17,n2614.lua,p17/n2614.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q260,,P17,n2616.lua,p17/n2616.lua
AufDemWall3Village3,Q258,,P17,n2616.lua,p17/n2616.lua
GwensMedizin,Q258,,P17,n2616.lua,p17/n2616.lua
AufDemWall5Endkampf,Q265,,P17,n2619.lua,p17/n2619.lua
DerPhoenix6Ablieferung,Q322,,P19,n2837.lua,P19/n2837.lua
DerPhoenix6Ablieferung,Q322,,P19,n2837.lua,P19/n2837.lua
DerPhoenix1Waechter,Q308,,P19,n2850.lua,P19/n2850.lua
DerPhoenix2Splitter1,Q318,,P19,n2850.lua,P19/n2850.lua
DerPhoenix2Splitter2,Q319,,P19,n2850.lua,P19/n2850.lua
DerPhoenix2Splitter3,Q2850,,P19,n2850.lua,P19/n2850.lua
DerPhoenix2Splitter4,Q2850,,P19,n2850.lua,P19/n2850.lua
Steinbrecher,Q279,,P21,n2798.lua,p21/n2798.lua
ShardAutum,Q334,,P21,n3841.lua,p21/n3841.lua
WolfUndDrache1,Q276,,P21,n2800.lua,p21/n2800.lua
WolfUndDrache2,Q277,,P21,n2800.lua,p21/n2800.lua
DerKatarakt,Q376,,P21,n2976.lua,p21/n2976.lua
Thar,Q514,,P21,n2797.lua,p21/n2797.lua
Schattenwelt2Rigour,Q512,,P21,n2797.lua,p21/n2797.lua
Schattenwelt2aRigour,Q512,,P21,n2797.lua,p21/n2797.lua
Schattenwelt2bRigour,Q514,,P21,n2797.lua,p21/n2797.lua
DurchdenSpalt2Her,Q498,,P23,n3736.lua,P23/n3736.lua
Ulather,Q499,,P23,n3736.lua,P23/n3736.lua
DurchdenSpalt1Hin,Q496,,P23,n3736.lua,P23/n3736.lua
Klingensturm2Sartarius,Q532,,P25,n3024_CutsceneSartariusDeath.lua,P25/n3024_CutsceneSartariusDeath.lua
AmraUndLea4,Q533,,P25,n2910.lua,P25/n2910.lua
AmraUndLea4,Q533,,P25,n2910.lua,P25/n2910.lua
AmraUndLea4,Q533,,P25,n2910.lua,P25/n2910.lua
AmraUndLea4,Q533,,P25,n2910.lua,P25/n2910.lua
Klingensturm1Monument,Q531,,P25,n0.lua,P25/n0.lua
NachUrgath3Archon,Q538,,P27,n4201.lua,P27/n4201.lua
NachUrgath1Elfensiedlung,Q535,,P27,n4200.lua,P27/n4200.lua
NachUrgath2Monument,Q534,,P27,n0.lua,P27/n0.lua
AtmenderWald1Waldherz,Q539,,P30,n0.lua,P30/n0.lua
AtmenderWald2Portal,Q539,,P30,n0.lua,P30/n0.lua
KreisSchluss1Tor1,Q4181,,P32,n4181.lua,p32/n4181.lua
KreisSchluss2Tor2,Q4182,,P32,n4182.lua,p32/n4182.lua
KreisSchluss2Tor3,Q4651,,P32,n4651.lua,p32/n4651.lua
KreisSchluss4Soulforger,Q542,,P32,n0.lua,p32/n0.lua
EchosBuchstabe1,Q325,,P63,n3323.lua,P63/n3323.lua
EchosBuchstabe3,Q325,,P63,n3322.lua,P63/n3322.lua
WundtinkturValdis,Q357,,P63,n2612.lua,P63/n2612.lua
EchosBuchstabe2,Q325,,P63,n3324.lua,P63/n3324.lua
Schwarzeibe,Q414,,P63,n3044.lua,P63/n3044.lua
TricksterFindFlink,Q527,,P63,n4139.lua,P63/n4139.lua
TricksterReturn,Q528,,P63,n4139.lua,P63/n4139.lua
BlutTombardTot,Q397,,P63,n2992.lua,P63/n2992.lua
BlutAdhiraTrank,Q407,,P63,n2993.lua,P63/n2993.lua
Schattenwelt1Castagir,Q417,,P63,n3156.lua,P63/n3156.lua
Schattenwelt3Manifest,Q423,,P63,n3156.lua,P63/n3156.lua
SchattenweltShadowpulse,Q530,,P63,n3156.lua,P63/n3156.lua
AmraUndLea3Sentos,Q384,,P63,n2897.lua,P63/n2897.lua
Seelenschwerter,Q110,,P63,n2896.lua,P63/n2896.lua
Seelenschwerter,Q469,,P63,n2896.lua,P63/n2896.lua
Seelenschwerter,Q469,,P63,n2896.lua,P63/n2896.lua
Drachenpanzer1,Q110,,P63,n2896.lua,P63/n2896.lua
Drachenpanzer2,Q516,,P63,n2896.lua,P63/n2896.lua
ZahnbrechersZangen,Q371,,P63,n2863.lua,P63/n2863.lua
FeineStoffe3Seide,Q413,,P63,n2861.lua,P63/n2861.lua
FeineStoffe3Seide,Q413,,P63,n2861.lua,P63/n2861.lua
FeineStoffe4Robe,Q344,,P63,n2861.lua,P63/n2861.lua
ThurgonBrief,Q344,,P63,n2861.lua,P63/n2861.lua
KlingzogsBeinlinge,Q413,,P63,n2861.lua,P63/n2861.lua
Zauberwerk1Augenglas,Q338,,P63,n2860.lua,P63/n2860.lua
Zauberwerk2Feder,Q338,,P63,n2860.lua,P63/n2860.lua
Zauberwerk3Kreide,Q340,,P63,n2860.lua,P63/n2860.lua
Zauberwerk4Robe,Q341,,P63,n2860.lua,P63/n2860.lua
SickHermit1Zirfar,Q358,,P63,n2865.lua,P63/n2865.lua
SickHermit2Locke,Q360,,P63,n2865.lua,P63/n2865.lua
EchosGoran,Q330,,P63,n2872.lua,P63/n2872.lua
Zwergendienste1Hinrik,Q489,,P63,n2578.lua,P63/n2578.lua
AngriffDerHoehlenorks,Q424,,P63,n0.lua,P63/n0.lua
EchosShinTarGuar,Q110,,P63,n0.lua,P63/n0.lua
NachGraufurtPartEnde,Q424,,P63,n3030_CutsceneSartarius.lua,P63/n3030_CutsceneSartarius.lua
NachGraufurtPartVillage,Q439,,P63,n3110.lua,P63/n3110.lua
WumpusKilled,Q606,,P101,n6333.lua,p101/n6333.lua
ImCampMitAllenGeredet,Q571,,P101,n0.lua,p101/n0.lua
HQBefreien,Q560,,P101,n0.lua,p101/n0.lua
FluechtlingeNachNorden,Q644,,P101,n0.lua,p101/n0.lua
HeldenErschaffen,Q587,,P101,n0_Outcries.lua,p101/n0_Outcries.lua
SetriusErreicht,Q32008,,P102,n32008_CutsceneSetrius.lua,P102/n32008_CutsceneSetrius.lua
DreiMagierGruolunGive,Q637,,P102,n6969.lua,P102/n6969.lua
DreiMagierGruolunSave,Q643,,P102,n6969.lua,P102/n6969.lua
DreiMagierZolowinFree,Q634,,P102,n6968.lua,P102/n6968.lua
DreiMagierZolowinGive,Q637,,P102,n6968.lua,P102/n6968.lua
DreiMagierZolowinSave,Q643,,P102,n6968.lua,P102/n6968.lua
DreiMagierRenyaGive,Q637,,P102,n6970.lua,P102/n6970.lua
DreiMagierRenyaSave,Q643,,P102,n6970.lua,P102/n6970.lua
P102Erreicht,Q569,,P102,n0.lua,P102/n0.lua
HuluErreicht,Q569,,P102,n0.lua,P102/n0.lua
JaninaBefreit,Q572,,P102,n0.lua,P102/n0.lua
QuelleVergiftet,Q572,,P102,n0.lua,P102/n0.lua
KitharLagerZerstoert,Q564,,P102,n0.lua,P102/n0.lua
RuneDunhanGenommen,Q564,,P102,n0.lua,P102/n0.lua
P103Erreicht,Q590,,P103,n0.lua,P103/n0.lua
WaldschrateKilled,Q590,,P103,n0.lua,P103/n0.lua
RuneReowysGenommen,Q593,,P103,n0.lua,P103/n0.lua
Camp1Befreit,Q580,,P104,n5645.lua,P104/n5645.lua
Camp2Befreit,Q581,,P104,n5652.lua,P104/n5652.lua
Schluesselmeisterin,Q578,,P104,n5643.lua,P104/n5643.lua
Camp3Befreit,Q582,,P104,n5659.lua,P104/n5659.lua
P104Erreicht,Q0,,P104,n0.lua,P104/n0.lua
OrklagerEinnehmen,Q578,,P104,n0.lua,P104/n0.lua
SQTiondriaSeite1Gefunden,Q704,,P104,n0.lua,P104/n0.lua
SQTiondriaSeite2Gefunden,Q704,,P104,n0.lua,P104/n0.lua
SQTiondriaSeite3Gefunden,Q704,,P104,n0.lua,P104/n0.lua
SQScaramangirKilled,Q8061,,P105,n8061.lua,P105/n8061.lua
SQTiondriaFlinkBefreit,Q698,,P105,n7287.lua,P105/n7287.lua
SQTiondriaSchatzGeteilt,Q709,,P105,n6799.lua,P105/n6799.lua
SQTiondriaSchatzBehalten,Q714,,P105,n6799.lua,P105/n6799.lua
FugisBroughtToTirganach,Q683,,P105,n7123.lua,P105/n7123.lua
SQTiondriaBuchDariusZurueck,Q702,,P105,n6803.lua,P105/n6803.lua
SQTiondriaMordfallNotSolved,Q765,,P105,n6591.lua,P105/n6591.lua
SQTiondriaMordfallNotSolved,Q765,,P105,n6591.lua,P105/n6591.lua
SQTiondriaMordfallHalfSolved,Q765,,P105,n6591.lua,P105/n6591.lua
SQTiondriaMordfallSolved,Q765,,P105,n6591.lua,P105/n6591.lua
FugisBroughtToMap,Q584,,P105,n0.lua,P105/n0.lua
SkeletonCampDestroyed,Q0,,P105,n0.lua,P105/n0.lua
SQTiondriaBuchDariusGefunden,Q608,,P105,n0.lua,P105/n0.lua
P107KarteErreicht,Q684,,P107,n0.lua,P107/n0.lua
GeistercampBesiegt,Q684,,P107,n0.lua,P107/n0.lua
AnfuehrerBesiegt,Q684,,P107,n0.lua,P107/n0.lua
MasterOfMosaic,Q6862,,P107,n6862.lua,P107/n6862.lua
RueckkehrMitWindjalf,Q612,,P108,n6304.lua,P108/n6304.lua
GuramMachtSprengung,Q291,,P108,n6200.lua,P108/n6200.lua
P108KarteErreicht,Q0,,P108,n0.lua,P108/n0.lua
WindjalfBefreit,Q772,,P108,n0.lua,P108/n0.lua
SQTiondriaSchatzGefunden,Q772,,P108,n0.lua,P108/n0.lua
