Quest_ID,Reward_Name,Platform,XP,Gold,Silver,Copper,Items,Item_Count
457,Kopfjagd4Head4,P4,15,0,0,0,,0
454,Kopfjagd5Head5,P4,15,0,0,0,,0
463,Kopfjagd6Complete,P4,60,0,0,0,,0
462,DieGeiseln,P4,40,0,0,0,,0
UNMAPPED,BefreiungShiel1Kommandant,P5,40,0,0,0,,0
UNMAPPED,BefreiungShiel2Dryaden,P5,140,0,0,0,,0
UNMAPPED,PurpurnesBanner1Kettchen,P5,35,0,0,0,,0
UNMAPPED,PurpurnesBanner2,P5,45,0,0,0,"680,622",2
104,AmWildlandPass1,P6,120,0,0,0,,0
105,AmWildlandPass2,P6,160,0,0,0,,0
107,KoenigDerSpinnen,P6,45,0,10,0,"2467,2467",2
410,AlterMannUndMusik,P6,45,0,0,0,628,1
413,FeineStoffe1,P6,45,0,0,0,,0
385,AmraUndLea2Sentos,P6,800,0,0,0,,0
121,Marcia1,P9,150,0,0,0,2652,1
112,SchlachtUmBrunnenfels1,P9,100,0,0,0,,0
UNMAPPED,SchlachtUmBrunnenfels2,P9,150,0,0,0,"708,545",2
121,SchlachtUmBrunnenfels2a,P9,150,0,0,0,2652,1
UNMAPPED,Eisenkarren1,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren2,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren3,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren4,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren5,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren6,P9,20,0,0,0,,0
UNMAPPED,Eisenkarren7,P9,20,0,0,0,,0
472,InsGrauschattental1,P10,50,0,0,0,,0
146,InsGrauschattental2,P10,150,0,0,0,,0
UNMAPPED,InsGrauschattental3,P10,50,0,0,0,,0
146,InsGrauschattental4,P10,350,0,0,0,,0
163,WeisseSchatten1,P10,80,0,0,0,,0
UNMAPPED,WeisseSchatten2,P10,40,0,0,0,774,1
488,Zwergendienste2Cronvig,P10,250,5,0,0,,0
UNMAPPED,JeGroesser1,P10,90,0,0,0,,0
UNMAPPED,JeGroesser2,P10,110,0,0,0,,0
UNMAPPED,Reisserfell,P10,60,0,0,0,,0
480,FeineStoffe2Miria,P10,100,0,0,0,,0
UNMAPPED,Erdenklinge2,P10,200,0,0,0,,0
170,Erdenklinge3,P10,400,0,0,0,,0
UNMAPPED,Erdenklinge4,P10,400,0,0,0,,0
UNMAPPED,Erdklinge11,P11,100,0,0,0,,0
UNMAPPED,Erdklinge12,P11,250,0,0,0,,0
UNMAPPED,Giftzwerg,P11,150,0,0,0,,0
UNMAPPED,Riesenaerger1,P11,100,0,0,0,,0
UNMAPPED,Riesenaerger2,P11,150,0,0,0,644,1
206,Grenzkrieg1Festung,P12,300,0,0,0,,0
UNMAPPED,Grenzkrieg2Canyon,P12,500,0,0,0,,0
UNMAPPED,Verraeter,P12,400,0,0,0,571,1
219,MaskeDesBelial1,P12,300,0,0,0,,0
216,MaskeDesBelial2,P12,300,0,0,0,,0
238,KlagendeSteine1BisTor,P15,400,0,0,0,,0
236,KlagendeSteine2Korshar,P15,500,0,0,0,,0
UNMAPPED,Homunculus,P15,300,0,0,0,740,1
UNMAPPED,Trickster1Cassius,P15,300,0,0,0,,0
216,MaskeDesBelial2,P15,300,0,0,0,,0
UNMAPPED,Schattenwelt4Kristall,P15,1400,0,0,0,,0
UNMAPPED,AmraUndLea5,P15,1200,0,0,0,,0
491,FluesterndeStadt1Item1,P16,250,0,0,0,,0
UNMAPPED,FluesterndeStadt2Item2,P16,250,0,0,0,,0
UNMAPPED,FluesterndeStadt3Item3,P16,250,0,0,0,,0
490,FluesterndeStadt4Endkampf,P16,450,0,0,0,,0
UNMAPPED,FluesterndeStadt5Maske,P16,350,0,0,0,,0
387,AmraLeaGrab,P16,800,0,0,0,,0
UNMAPPED,MosaikDesTodes,P16,800,0,0,0,,0
249,AufDemWall1Village1,P17,200,0,0,0,,0
UNMAPPED,AufDemWall2Village2,P17,300,0,0,0,,0
258,AufDemWall3Village3,P17,300,0,0,0,,0
250,AufDemWall4Village4,P17,300,0,0,0,,0
264,AufDemWall5Endkampf,P17,500,0,0,0,,0
UNMAPPED,GwensMedizin,P17,600,0,0,0,,0
308,DerPhoenix1Waechter,P19,1000,0,0,0,,0
UNMAPPED,DerPhoenix2Splitter1,P19,800,0,0,0,,0
UNMAPPED,DerPhoenix3Splitter2,P19,800,0,0,0,,0
UNMAPPED,DerPhoenix4Splitter3,P19,800,0,0,0,,0
UNMAPPED,DerPhoenix5Splitter4,P19,800,0,0,0,,0
322,DerPhoenix6Ablieferung,P19,800,0,0,0,,0
274,WolfUndDrache1,P21,200,0,0,0,,0
UNMAPPED,WolfUndDrache2,P21,400,0,0,0,,0
279,Steinbrecher,P21,800,0,0,0,,0
512,Thar,P21,600,50,0,0,,0
UNMAPPED,Schattenwelt2Rigour,P21,300,0,0,0,,0
UNMAPPED,Schattenwelt2aRigour,P21,400,0,0,0,,0
UNMAPPED,Schattenwelt2bRigour,P21,600,0,0,0,,0
376,DerKatarakt,P21,600,0,0,0,,0
UNMAPPED,ShardAutumn,P21,400,0,0,0,,0
UNMAPPED,DurchdenSpalt1Hin,P23,1300,0,0,0,,0
499,DurchdenSpalt2Her,P23,1300,0,0,0,"2287,2271,3535",3
UNMAPPED,Ulather,P23,800,0,0,0,,0
521,EndeDesOrdens1Erreichen,P7,1500,0,0,0,,0
532,EndeDesOrdens2DreiItems,P7,1500,0,0,0,,0
UNMAPPED,AmraUndLea4,P7,1200,0,0,0,,0
550,Klingensturm1Monument,P25,1000,0,0,0,,0
UNMAPPED,Klingensturm2Sartarius,P25,2600,0,0,0,2241,1
UNMAPPED,AmraUndLea4,P25,1200,0,0,0,,0
UNMAPPED,NachUrgath1Elfensiedlung,P27,1000,0,0,0,,0
537,NachUrgath2Monument,P27,1400,0,0,0,,0
UNMAPPED,NachUrgath3Archon,P27,2000,0,0,0,"1456,1550",2
UNMAPPED,AtmenderWald1Waldherz,P30,2000,0,0,0,,0
541,AtmenderWald2Portal,P30,3000,0,0,0,,0
UNMAPPED,KreisSchluss1Tor1,P32,2000,0,0,0,,0
UNMAPPED,KreisSchluss2Tor2,P32,2000,0,0,0,,0
UNMAPPED,KreisSchluss3Tor3,P32,2000,0,0,0,,0
547,KreisSchluss4Soulforger,P32,10000,0,0,0,,0
715,ImCampMitAllenGeredet,P101,15,0,0,0,,0
588,HeldenErschaffen,P101,45,0,0,0,,0
586,HQBefreien,P101,150,0,0,0,,0
644,FluechtlingeNachNorden,P101,150,0,0,0,,0
UNMAPPED,WumpusKilled,P101,550,0,0,0,"3685,3694,3956",3
572,P102Erreicht,P102,30,0,0,0,,0
UNMAPPED,JaninaBefreit,P102,65,0,0,0,,0
UNMAPPED,HuluErreicht,P102,65,0,0,0,,0
UNMAPPED,SetriusErreicht,P102,65,0,0,0,,0
UNMAPPED,QuelleVergiftet,P102,65,0,0,0,,0
564,KitharLagerZerstoert,P102,175,0,0,0,,0
567,RuneDunhanGenommen,P102,175,0,0,0,,0
634,DreiMagierZolowinFree,P102,0,0,0,0,3956,1
UNMAPPED,DreiMagierZolowinGive,P102,55,0,0,0,4056,1
636,DreiMagierGruolunGive,P102,55,0,0,0,"3984,3955",2
635,DreiMagierRenyaGive,P102,35,0,0,0,"3904,3957",2
UNMAPPED,DreiMagierZolowinSave,P102,250,0,0,0,"4032,4079,3671",3
UNMAPPED,DreiMagierGruolunSave,P102,250,0,0,0,"3959,4079,705",3
UNMAPPED,DreiMagierRenyaSave,P102,250,0,0,0,"3928,4079,627",3
UNMAPPED,P103Erreicht,P103,75,0,0,0,,0
593,WaldschrateKilled,P103,250,0,0,0,,0
594,RuneReowysGenommen,P103,500,0,0,0,,0
UNMAPPED,P104Erreicht,P104,125,0,0,0,,0
580,Camp1Befreit,P104,200,0,0,0,,0
581,Camp2Befreit,P104,200,0,0,0,,0
582,Camp3Befreit,P104,200,0,0,0,,0
575,OrklagerEinnehmen,P104,175,0,0,0,,0
UNMAPPED,Schluesselmeisterin,P104,350,0,0,0,,0
704,SQTiondriaSeite1Gefunden,P104,500,0,0,0,,0
705,SQTiondriaSeite2Gefunden,P104,500,0,0,0,,0
706,SQTiondriaSeite3Gefunden,P104,500,0,0,0,,0
585,FugisBroughtToMap,P105,175,0,0,0,,0
691,FugisBroughtToTirganach,P105,450,0,0,0,,0
701,SQTiondriaBuchDariusGefunden,P105,300,0,0,0,,0
UNMAPPED,SQTiondriaBuchDariusZurueck,P105,400,0,0,0,,0
UNMAPPED,SQTiondriaFlinkBefreit,P105,250,0,0,0,,0
UNMAPPED,SQTiondriaSchatzGeteilt,P105,2500,15,0,0,"3957,3598,3776,4418",4
UNMAPPED,SQTiondriaSchatzBehalten,P105,250,30,0,0,"3957,3955,4407,3773,3692,3598,3776,4418,3726",9
UNMAPPED,SQTiondriaMordfallSolved,P105,1300,0,0,0,,0
UNMAPPED,SQTiondriaMordfallHalfSolved,P105,750,0,0,0,,0
765,SQTiondriaMordfallNotSolved,P105,100,0,0,0,,0
UNMAPPED,SQScaramangirKilled,P105,1500,0,0,0,,0
UNMAPPED,SkeletonCampDestroyed,P105,850,0,0,0,,0
684,P107KarteErreicht,P107,275,0,0,0,,0
UNMAPPED,GeistercampBesiegt,P107,1150,0,0,0,,0
UNMAPPED,AnfuehrerBesiegt,P107,1150,0,0,0,,0
UNMAPPED,P108KarteErreicht,P108,350,0,0,0,,0
291,GuramMachtSprengung,P108,550,0,0,0,,0
UNMAPPED,WindjalfBefreit,P108,1150,0,0,0,,0
612,RueckkehrMitWindjalf,P108,1250,0,0,0,,0
712,SQTiondriaSchatzGefunden,P108,550,0,0,0,,0
UNMAPPED,MasterOfMosaic,P108,2000,0,0,0,,0
UNMAPPED,P109KarteErreicht,P109,350,0,0,0,,0
UNMAPPED,P109PortalErreicht,P109,350,0,0,0,,0
UNMAPPED,ZwergeBefreit,P109,550,0,0,0,,0
693,TorZerstoert,P109,750,0,0,0,,0
UNMAPPED,TrollcampZerstoert,P109,900,0,0,0,,0
653,WerwolfTempel1,P109,350,0,0,0,,0
654,WerwolfTempel2,P109,350,0,0,0,,0
655,WerwolfTempel3,P109,350,0,0,0,,0
UNMAPPED,WerwolfGesamt,P109,550,0,0,0,3727,1
UNMAPPED,P110KarteErreicht,P110,350,0,0,0,,0
UNMAPPED,SternstadtZerstoert,P110,600,0,0,0,,0
UNMAPPED,MondstadtZerstoert,P110,600,0,0,0,,0
UNMAPPED,SonnenstadtZerstoert,P110,600,0,0,0,,0
UNMAPPED,InInnenstadtGekommen,P110,700,0,0,0,,0
UNMAPPED,GrimBesiegt,P110,750,0,0,0,,0
744,P111KarteErreicht,P111,350,0,0,0,,0
673,SchattenringBekommen,P111,500,0,0,0,,0
UNMAPPED,ElementBeschworen,P111,600,0,0,0,,0
675,AlleVierFackelnAn,P111,1000,0,0,0,,0
UNMAPPED,WaechterGetoetet,P111,1000,0,0,0,,0
UNMAPPED,SQTiondriaObjekteEingesetzt,P111,350,0,0,0,,0
746,P113KarteErreicht,P113,350,0,0,0,,0
UNMAPPED,Boss1Getoetet,P113,700,0,0,0,,0
UNMAPPED,Boss2Getoetet,P113,700,0,0,0,,0
UNMAPPED,Boss3Getoetet,P113,700,0,0,0,,0
UNMAPPED,Boss4Getoetet,P113,700,0,0,0,,0
697,FialDargTotCenwenFrei,P113,2000,0,0,0,,0
UNMAPPED,P115KarteErreicht,P115,400,0,0,0,,0
UNMAPPED,Drachenstein1,P115,450,0,0,0,,0
UNMAPPED,Drachenstein2,P115,450,0,0,0,,0
UNMAPPED,Drachenstein3,P115,450,0,0,0,,0
UNMAPPED,Drachenstein4,P115,450,0,0,0,,0
UNMAPPED,Drachenstein5,P115,450,0,0,0,,0
UNMAPPED,Drachenstein6,P115,450,0,0,0,,0
667,Drachenstein7,P115,1000,0,0,0,,0
668,Drachenstein8,P115,1000,0,0,0,,0
669,Drachenstein9,P115,1000,0,0,0,,0
670,DracheGetoetet,P115,5000,0,0,0,,0
UNMAPPED,ColosseumRunde01Sieg,P200,7000,2500,0,0,"4730,4622,4467",3
UNMAPPED,ColosseumRunde02Sieg,P200,8000,2700,0,0,"7076,4474,4485",3
UNMAPPED,ColosseumRunde03Sieg,P200,9000,2900,0,0,"4450,4440,7066",3
UNMAPPED,ColosseumRunde04Sieg,P200,10000,3200,0,0,"4767,4478,4499",3
UNMAPPED,ColosseumRunde05Sieg,P200,12500,3400,0,0,"4079,4561,4461",3
UNMAPPED,ColosseumRunde06Sieg,P200,15000,3600,0,0,"4563,4679,4651",3
UNMAPPED,ColosseumRunde07Sieg,P200,17500,3800,0,0,"4541,4534,4444",3
UNMAPPED,ColosseumRunde08Sieg,P200,20500,4100,0,0,"4775,4676,4486",3
UNMAPPED,ColosseumRunde09Sieg,P200,25000,4300,0,0,"4745,4665,4502",3
1103,ColosseumRunde10Sieg,P200,30000,5000,0,0,"4079,4433,4451",3
UNMAPPED,GoblinRennen,P200,2000,0,0,0,,0
776,InsCampGekommen,P201,2000,0,0,0,,0
893,RingGefunden,P201,5000,0,0,0,,0
775,UriasBefreit,P201,8000,0,0,0,,0
777,CampsZerstoert,P201,15000,0,0,0,,0
UNMAPPED,Ordensritter1Befreit,P201,4000,0,0,0,,0
UNMAPPED,Ordensritter2Befreit,P201,4000,0,0,0,,0
UNMAPPED,Ordensritter3Befreit,P201,4000,0,0,0,,0
895,LeutnantGesprochen,P201,3500,0,0,0,,0
836,ErstenDrachenGetoetet,P201,5000,0,0,0,,0
UNMAPPED,ZweitenDrachenGetoetet,P201,5000,0,0,0,,0
840,DrittenDrachenGetoetet,P201,5000,0,0,0,,0
841,ViertenDrachenGetoetet,P201,5000,0,0,0,,0
UNMAPPED,GurimLebt,P201,5000,0,0,0,,0
827,HeldenBeschworen,P202,2000,0,0,0,,0
UNMAPPED,GrabmalGeoeffnet,P202,12000,0,0,0,,0
831,UrneZuHokan,P202,16000,0,0,0,,0
UNMAPPED,Seelenwesen1,P202,2400,0,0,0,,0
UNMAPPED,Seelenwesen2,P202,2400,0,0,0,,0
UNMAPPED,Seelenwesen3,P202,2400,0,0,0,,0
UNMAPPED,Seelenwesen4,P202,2400,0,0,0,,0
UNMAPPED,Seelenwesen5,P202,2400,0,0,0,,0
UNMAPPED,WachgeistTot,P202,4000,0,0,0,,0
1049,OpferFreigelassen,P202,6000,0,0,0,,0
1048,OpferTot,P202,6000,0,0,0,,0
845,TorZurStaetteOffen,P202,10000,0,0,0,,0
844,HlStaetteBaumGepflanzt,P202,10000,0,0,0,,0
UNMAPPED,AschetaenzerTot,P202,12000,0,0,0,,0
UNMAPPED,GnomlingBossTot,P202,8000,0,0,0,,0
UNMAPPED,ExtinctTuermeWeg,P202,10000,0,0,0,,0
UNMAPPED,ResistenteGargoyle1Tot,P202,10000,0,0,0,,0
UNMAPPED,P203KarteErreicht,P203,1500,0,0,0,,0
803,BlockadeDurchbrochen,P203,10000,0,0,0,,0
1002,DialogMitAeltestem,P203,6000,0,0,0,,0
UNMAPPED,Geheimweg,P203,9000,0,0,0,,0
807,ZerstoerungDesLagers,P203,24000,0,0,0,,0
802,LichkoenigTot,P203,4000,0,0,0,,0
1029,TantaroGefunden,P203,5000,0,0,0,,0
1030,WasserEntgiften,P203,10000,0,0,0,,0
1031,ZuTarioGegangen,P203,7000,0,0,0,,0
809,P204KarteErreicht,P204,3000,0,0,0,,0
UNMAPPED,FlinkAbgeliefert,P204,5500,0,0,0,,0
UNMAPPED,Tor1DurchTrickGeoeffnet,P204,11000,0,0,0,,0
970,Tor2DurchTrickGeoeffnet,P204,7000,0,0,0,,0
948,Tor3DurchTrickGeoeffnet,P204,9000,0,0,0,,0
UNMAPPED,OberstadtRechtsErreicht,P204,6500,0,0,0,,0
UNMAPPED,OberstadtLinksErreicht,P204,6500,0,0,0,,0
816,PalastgartenErreicht,P204,10000,0,0,0,,0
810,LyrioQuestGeloest,P204,6000,0,0,0,,0
UNMAPPED,IshtarTraumstabGebracht,P204,4000,0,0,0,,0
UNMAPPED,TruppenZumPortalGesandt,P204,9000,0,0,0,,0
UNMAPPED,ArenaKampf32,P204,5000,0,0,0,,0
UNMAPPED,ArenaKampf36,P204,7000,0,0,0,,0
UNMAPPED,ArenaKampf38,P204,10000,0,0,0,,0
UNMAPPED,ArenaKampf40,P204,12500,0,0,0,,0
1011,ArenaKampf42,P204,15000,0,0,0,,0
1020,SQSethHealed,P204,5000,0,0,0,,0
1064,SQBotschafterGefunden,P204,5000,0,0,0,,0
1068,SQBotschafterTot,P204,10000,0,0,0,,0
1068,SQCraigIstBotschafter,P204,20000,0,0,0,,0
UNMAPPED,SQSchutzgeldSmall,P204,6000,0,0,0,,0
UNMAPPED,SQSchutzgeldMedium,P204,12000,0,0,0,,0
UNMAPPED,SQSchutzgeldLarge,P204,18000,0,0,0,,0
1075,SQHaendlerFriedlich,P204,10000,0,0,0,,0
1068,SQAuftragGescheitert,P204,3000,0,0,0,,0
810,P205KarteErreicht,P205,5000,0,0,0,,0
UNMAPPED,Nymphe1Befreit,P205,6000,0,0,0,,0
UNMAPPED,Nymphe2Befreit,P205,6000,0,0,0,,0
UNMAPPED,Nymphe3Befreit,P205,6000,0,0,0,,0
UNMAPPED,SpinnencampZerstoert,P205,8000,0,0,0,,0
UNMAPPED,GartenEntgiftet,P205,10000,0,0,0,,0
UNMAPPED,MitDryadeGesprochen,P205,10000,0,0,0,,0
UNMAPPED,SmallIrfitReward,P205,5000,0,0,0,,0
UNMAPPED,LargeIrfitReward,P205,13000,0,0,0,,0
818,P206KarteErreicht,P206,5000,0,0,0,,0
819,RastplatzGefunden,P206,4500,0,0,0,,0
886,DialogMitUnterhaendler,P206,7000,0,0,0,,0
822,FalleAusgeloest,P206,7000,0,0,0,,0
UNMAPPED,Lager1Kaputtgemacht,P206,7000,0,0,0,,0
UNMAPPED,Lager2Kaputtgemacht,P206,7000,0,0,0,,0
886,AlleinEinenWegGefunden,P206,6500,0,0,0,,0
UNMAPPED,KarawaneLosgelaufen,P206,10300,0,0,0,,0
820,AlleTrolleKommenAn,P206,12000,0,0,0,,0
UNMAPPED,VieleTrolleKommenAn,P206,7000,0,0,0,,0
UNMAPPED,WenigeTrolleKommenAn,P206,3000,0,0,0,,0
891,P207KarteErreicht,P207,4500,0,0,0,,0
989,BergrieseGeholfen,P207,6500,0,0,0,,0
977,SprengzwergBefreit,P207,8500,0,0,0,,0
973,ErsteFestungBesiegt,P207,9500,0,0,0,,0
UNMAPPED,SchalterraetselGeloest,P207,7500,0,0,0,,0
978,ZweiteFestungBesiegt,P207,9500,0,0,0,,0
981,DritteFestungBesiegt,P207,9500,0,0,0,,0
986,VierteFestungBesiegt,P207,9500,0,0,0,,0
988,UndeadRohenGetoetet,P207,12000,0,0,0,,0
UNMAPPED,P208KarteErreicht,P208,5000,0,0,0,,0
UNMAPPED,Prinzessin1Befreit,P208,3000,0,0,0,,0
UNMAPPED,Prinzessin2Befreit,P208,3000,0,0,0,,0
UNMAPPED,Prinzessin3Befreit,P208,3000,0,0,0,,0
UNMAPPED,Prinzessin4Befreit,P208,3000,0,0,0,,0
UNMAPPED,Prinzessin5Befreit,P208,3000,0,0,0,,0
UNMAPPED,Wolfcamp1Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp2Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp3Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp4Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp5Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp6Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,Wolfcamp7Zerstoert,P208,2500,0,0,0,,0
UNMAPPED,KopfloserTodVernichtet,P208,10000,0,0,0,,0
UNMAPPED,Gremlinlager1Zerstoert,P208,3000,0,0,0,,0
UNMAPPED,Gremlinlager2Zerstoert,P208,3000,0,0,0,,0
UNMAPPED,Gremlinlager3Zerstoert,P208,3000,0,0,0,,0
UNMAPPED,Gremlinlager4Zerstoert,P208,3000,0,0,0,,0
UNMAPPED,Gremlinlager5Zerstoert,P208,3000,0,0,0,,0
863,ArgamunVerwandeltSich,P208,10000,0,0,0,,0
1070,MasterGameWon,P208,30000,0,0,0,7437,1
779,P209KarteErreicht,P209,5000,0,0,0,,0
UNMAPPED,UntotenlagerNord,P209,9000,0,0,0,,0
UNMAPPED,UntotenlagerWest,P209,9000,0,0,0,,0
UNMAPPED,UntotenlagerSued,P209,9000,0,0,0,,0
782,StadtKathaiErreicht,P209,6000,0,0,0,,0
1083,GespraechMitKhal,P209,2000,0,0,0,,0
1083,UruSpricht1,P209,2000,0,0,0,,0
784,KathaiStadtTorOffen,P209,8000,0,0,0,,0
781,KathaiStadtBefreit,P209,10000,0,0,0,,0
934,UruSpricht2,P209,2000,0,0,0,,0
789,HolyArtefact1Gefunden,P209,4000,0,0,0,,0
UNMAPPED,HolyArtefact2Gefunden,P209,4000,0,0,0,,0
791,XalabarInArenaBesiegt,P209,10000,0,0,0,,0
792,UruSpricht3,P209,2000,0,0,0,,0
794,UruSpricht4,P209,2000,0,0,0,,0
795,ZwergenMonumentClaimed,P209,2000,0,0,0,,0
797,LeaderNordarmeeKilled,P209,8000,0,0,0,,0
798,LeaderSuedarmeeKilled,P209,8000,0,0,0,,0
799,LeaderHauptarmeeKilled,P209,8000,0,0,0,,0
UNMAPPED,BronzerieseGetoetet,P209,12000,0,0,0,,0
874,UruSpricht5,P209,2000,0,0,0,,0
875,P210KarteErreicht,P210,5000,0,0,0,,0
UNMAPPED,EntryMenhirComboCorrect,P210,3500,0,0,0,,0
UNMAPPED,AugenSet1Solved,P210,3500,0,0,0,,0
UNMAPPED,AugenSet2Solved,P210,3500,0,0,0,,0
UNMAPPED,AugenSet3Solved,P210,3500,0,0,0,,0
UNMAPPED,AugenSet4Solved,P210,3500,0,0,0,,0
UNMAPPED,Room2SensoSolved,P210,14000,0,0,0,,0
UNMAPPED,LastChestInRoom5Opened,P210,20000,0,0,0,,0
UNMAPPED,Room6SpiderGateOpened,P210,15000,0,0,0,,0
UNMAPPED,TurningHeadsCrossed,P210,10000,0,0,0,,0
UNMAPPED,AirCoinPassageOpened,P210,15000,0,0,0,,0
UNMAPPED,Room4SkeletonDoorOpened,P210,15000,0,0,0,,0
UNMAPPED,Room7ChessboardCrossed,P210,15000,0,0,0,,0
UNMAPPED,Room3HeadDoorOpened,P210,45000,0,0,0,,0
UNMAPPED,SceptreOfWindsFound,P210,20000,0,0,0,,0
UNMAPPED,ExitDoorToP211Opened,P210,25000,0,0,0,,0
UNMAPPED,P211KarteErreicht,P211,5000,0,0,0,,0
UNMAPPED,TorJenquaiGeoeffnet,P211,6500,0,0,0,,0
UNMAPPED,MonumenteElfClaimed,P211,4000,0,0,0,,0
UNMAPPED,MonumenteZwerg1Claimed,P211,4000,0,0,0,,0
UNMAPPED,MonumenteZwerg2Claimed,P211,4000,0,0,0,,0
UNMAPPED,DschungelCamp1Killed,P211,7000,0,0,0,,0
UNMAPPED,DschungelCamp2Killed,P211,7000,0,0,0,,0
UNMAPPED,DschungelCamp3Killed,P211,7000,0,0,0,,0
UNMAPPED,DschungelCamp4Killed,P211,10000,0,0,0,,0
1061,CraigBefreit,P211,10000,0,0,0,,0
UNMAPPED,SchattenklingeBefreit,P211,10000,0,0,0,,0
UNMAPPED,WerwolfAbgelenkt,P211,15000,0,0,0,,0
