Reward_Name,Platform,XP,Items,Confidence,Language,Quest_Text_From_CFF,Suggested_Quest_IDs,Quest_Descriptions
"SickHermit1Zirfar","P63",600,"[]",0.900,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may harm the sick hermit. ","NOT_FOUND","No matching quest in database"
"EchosShinTarGuar","P63",1000,"[]",0.900,"English","I could actually make out words. Tar; Shin and Guar!","NOT_FOUND","No matching quest in database"
"GeistInDerMine","P1",35,"[]",0.900,"German","Bei der alten Mine ging eine Erscheinung um. Es schien der Geist eines Menschen zu sein; zornig und ","NOT_FOUND","No matching quest in database"
"StaubDerSterne1","P2",20,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kristallen....nennt ma","NOT_FOUND","No matching quest in database"
"StaubDerSterne2","P2",10,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kristallen....nennt ma","NOT_FOUND","No matching quest in database"
"StaubDerSterne3","P2",5,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kristallen....nennt ma","NOT_FOUND","No matching quest in database"
"AlterMannUndMusik","P6",45,"[]",0.900,"German","Bleibt Ihr nur bei Eurem Lagerfeuer und Euren Geschichten; alter Mann!","NOT_FOUND","No matching quest in database"
"MaskeDesBelial1","P12",300,"[]",0.900,"German","ck und zeigt Darius die Maske des Belial.","NOT_FOUND","No matching quest in database"
"MaskeDesBelial2","P12",300,"[]",0.900,"German","ck und zeigt Darius die Maske des Belial.","NOT_FOUND","No matching quest in database"
"KlagendeSteine2Korshar","P15",500,"[]",0.900,"German","Korshar befehligt seine Heere von der alten Festung in den Klagenden Steinen aus. Dort bewacht er au","NOT_FOUND","No matching quest in database"
"AmraUndLea5","P15",1200,"[]",0.900,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Und Amra war nicht meh","NOT_FOUND","No matching quest in database"
"AmraUndLea4","P7",1200,"[]",0.900,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Und Amra war nicht meh","NOT_FOUND","No matching quest in database"
"TruppenZumPortalGesandt","P204",9000,"[]",0.900,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","NOT_FOUND","No matching quest in database"
"AlleinEinenWegGefunden","P206",6500,"[]",0.900,"German","rper viele Klafter tief in die Erde...damit ich im Verborgenen ruhen kann...bis er einen Weg gefunde","NOT_FOUND","No matching quest in database"
"WegZumTorFreigeraeumt","P213",17500,"[]",0.900,"German","Rohen ist auf dem Weg zum Wildland-Pass. Sprecht mit Celen Fell; Kommandantin der Wachen. Ihr werdet","NOT_FOUND","No matching quest in database"
"AngriffDerHoehlenorks","P63",20,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","424","Folgt dem Soldaten zum Tor! Kehrt zu mir zurück; w"
"BlutAdhiraTrank","P63",4000,"[]",0.800,"German","Bringt Adhira das Blut m","NOT_FOUND","No matching quest in database"
"BlutTombardTot","P63",2000,"[]",0.800,"German","nner sind tapfer; aber es sind zu viele der wandlenden Toten dort draussen. Unser Blut wird bald im ","NOT_FOUND","No matching quest in database"
"TricksterFindFlink","P63",500,"[]",0.800,"English","Find Flink McWinter and give him the golden fragment","NOT_FOUND","No matching quest in database"
"DariusDerKarthograph","P1",25,"[]",0.800,"English","The Order of Dawn sent me. Are you the one they call Darius?","NOT_FOUND","No matching quest in database"
"EinSeltsamerRing","P1",20,"[]",0.800,"English","Bring the news to Einar","NOT_FOUND","No matching quest in database"
"Einsiedler1Shan","P1",100,"[]",0.800,"German","Nun kann der Einsiedler in Graufurt endlich den Zirfartrank erhalten. Aber vielleicht hat Shan doch ","NOT_FOUND","No matching quest in database"
"DurchDenSchattenhain","P4",130,"[]",0.800,"German","r Sie selbst (Ihren Avatar). Durch einen Linksklick werden Sie selektiert; durch einen Rechtsklick w","NOT_FOUND","No matching quest in database"
"KoenigDerSpinnen","P6",45,"[]",0.800,"German","hrt. Markwart will Rache; aber keiner will dem sagenumwobenen Meister der Spinnen zu nahe kommen.","NOT_FOUND","No matching quest in database"
"FeineStoffe1","P6",45,"[]",0.800,"English","r die Feine-Stoffe-Quest eingef","NOT_FOUND","No matching quest in database"
"InsGrauschattental1","P10",50,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","NOT_FOUND","No matching quest in database"
"InsGrauschattental2","P10",150,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","NOT_FOUND","No matching quest in database"
"InsGrauschattental3","P10",50,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","NOT_FOUND","No matching quest in database"
"InsGrauschattental4","P10",350,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufzureiben und bis zum ","NOT_FOUND","No matching quest in database"
"AmraLeaGrab","P16",800,"[]",0.800,"English","Shan is Lea's sister; Amra's chosen one. She probably knows another part of the story.","NOT_FOUND","No matching quest in database"
"FluechtlingeNachNorden","P101",150,"[]",0.800,"German","Der Wall ist durch Verwitterung und Menschenhand begehbar geworden. Er ist der einzige Weg nach Nord","NOT_FOUND","No matching quest in database"
"KitharLagerZerstoert","P102",175,"[]",0.800,"German","Wo befindet sich das Lager der Kithar?","NOT_FOUND","No matching quest in database"
"RuneDunhanGenommen","P102",175,"[]",0.800,"English","Use the rune monument to summon Dunhan and Reowys. Then the resistance will join you in the battle f","NOT_FOUND","No matching quest in database"
"RuneReowysGenommen","P103",500,"[]",0.800,"English","Use the rune monument to summon Dunhan and Reowys. Then the resistance will join you in the battle f","NOT_FOUND","No matching quest in database"
"SkeletonCampDestroyed","P105",850,"[]",0.800,"English","Snarf's camp in the West must be destroyed. Celen wants his Dagger as proof of his defeat.","NOT_FOUND","No matching quest in database"
"RueckkehrMitWindjalf","P108",1250,"[]",0.800,"English","Where will I find Windjalf; the smith?","NOT_FOUND","No matching quest in database"
"InsCampGekommen","P201",2000,"[]",0.800,"English","The necromancer and former student Istur's has been possessed by a dream-snatcher and he has gone in","NOT_FOUND","No matching quest in database"
"ZerstoerungDesLagers","P203",24000,"[]",0.800,"German","ler Isturs ist von einem Traumdieb besessen und wahnsinnig. Nur der Tod kann ihn von dem Wesen befre","NOT_FOUND","No matching quest in database"
"ArenaKampf32","P204",5000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht Ihr Euch feige von d","NOT_FOUND","No matching quest in database"
"ArenaKampf36","P204",7000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht Ihr Euch feige von d","NOT_FOUND","No matching quest in database"
"ArenaKampf38","P204",10000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht Ihr Euch feige von d","NOT_FOUND","No matching quest in database"
"ArenaKampf40","P204",12500,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht Ihr Euch feige von d","NOT_FOUND","No matching quest in database"
"ArenaKampf42","P204",15000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht Ihr Euch feige von d","NOT_FOUND","No matching quest in database"
"MitDryadeGesprochen","P205",10000,"[]",0.800,"English","The malicious Dryade once drove the hermit into madness. He met her in Eloni and fell under her spel","NOT_FOUND","No matching quest in database"
"LargeIrfitReward","P205",13000,"[]",0.800,"English","He knows the largest deposits of dreamdust in Empyria! If I could only get him alive; I would pay an","NOT_FOUND","No matching quest in database"
"ErsteFestungBesiegt","P207",9500,"[]",0.800,"German","nderer ihr Versteck. Dorthin haben sie den Besitz von Illirias verschleppt. Findet und besiegt sie.","NOT_FOUND","No matching quest in database"
"ZweiteFestungBesiegt","P207",9500,"[]",0.800,"German","hrt die Kampfaxt wie kein Zweiter. Besiegt ihn und schlagt ihm den Kopf ab.","NOT_FOUND","No matching quest in database"
"UndeadRohenGetoetet","P207",12000,"[]",0.800,"English","The Circlemage Rohen has arrived with his Undead Guard. It seems he is not yet in possession of his ","NOT_FOUND","No matching quest in database"
"KopfloserTodVernichtet","P208",10000,"[]",0.800,"German","Der Tod Shaknars hat den Traumdieb freigesetzt. Er muss vernichtet werden; um den Obsidian zu erlang","NOT_FOUND","No matching quest in database"
"ArgamunVerwandeltSich","P208",10000,"[]",0.800,"German","Sucht die verwandelte Prinzessin; die sich im S","NOT_FOUND","No matching quest in database"
"MasterGameWon","P208",30000,"[]",0.800,"English","Environment mapping controls the mirroring and reflections in the game environment. This has an effe","NOT_FOUND","No matching quest in database"
"StadtKathaiErreicht","P209",6000,"[]",0.800,"German","Ihr habt Shal'Dun; die Hauptstadt des roten Imperiums; erreicht. Der Zugang zum Inneren der Stadt is","NOT_FOUND","No matching quest in database"
"GespraechMitKhal","P209",2000,"[]",0.800,"German","ckhalten; aber nun scheinen sie jemanden zu haben; der ihnen hilft. Jemand mit Macht und Mitteln.","NOT_FOUND","No matching quest in database"
"KathaiStadtBefreit","P209",10000,"[]",0.800,"German","mpft alleine gegen die Untoten in der Stadt. Helft ihm und befragt ihn dann zur Lage in Kathai.","NOT_FOUND","No matching quest in database"
"ZwergenMonumentClaimed","P209",2000,"[]",0.800,"English","Use this button to select the next; activated monument. Cycle through all claimed Monuments. The gam","NOT_FOUND","No matching quest in database"
"LeaderNordarmeeKilled","P209",8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Defeat their leaders an","NOT_FOUND","No matching quest in database"
"LeaderSuedarmeeKilled","P209",8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Defeat their leaders an","NOT_FOUND","No matching quest in database"
"LeaderHauptarmeeKilled","P209",8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Defeat their leaders an","NOT_FOUND","No matching quest in database"
"MonumenteElfClaimed","P211",4000,"[]",0.800,"German","Ich diene der Rune! Ich kann Euch helfen! Gibt es in dieser Gegend noch einige der alten Monumente?","NOT_FOUND","No matching quest in database"
"AlleStelenOff","P212",20000,"[]",0.800,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may harm the sick hermit. ","NOT_FOUND","No matching quest in database"
"NahrungFuerAffenjunge","P213",10000,"[]",0.800,"German","Bringt dem Affenjungen 500 Nahrung f","NOT_FOUND","No matching quest in database"
"BlutigenDariusBefreit","P213",30000,"[]",0.800,"German","Sucht und befreit Darius","NOT_FOUND","No matching quest in database"
"AmraUndLea3Sentos","P63",500,"[]",0.720,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Und Amra war nicht meh","NOT_FOUND","No matching quest in database"
"WegNachEloni1Snarf","P1",25,"[]",0.720,"German","Rohen ist auf dem Weg zum Wildland-Pass. Sprecht mit Celen Fell; Kommandantin der Wachen. Ihr werdet","NOT_FOUND","No matching quest in database"
"WegNachEloni2Portal","P1",30,"[]",0.720,"Italian","e zum Portal nach Eloni. Ihr Versteck ist ein Lager im Westen.","NOT_FOUND","No matching quest in database"
"AusDerTiefe1Schreiber","P1",250,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei","NOT_FOUND","No matching quest in database"
"AusDerTiefe1Buch","P1",150,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei","NOT_FOUND","No matching quest in database"
"AusDerTiefe2Spaeher","P1",350,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei","NOT_FOUND","No matching quest in database"
"AmraUndLea2Sentos","P6",800,"[]",0.720,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Und Amra war nicht meh","NOT_FOUND","No matching quest in database"
"KlagendeSteine1BisTor","P15",400,"[]",0.720,"German","hlen! Die Untoten bewachen das Tor zu den klagenden Steinen scharf!","NOT_FOUND","No matching quest in database"
"AufDemWall5Endkampf","P17",500,"[]",0.720,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorher; was ihr begonnen ","NOT_FOUND","No matching quest in database"
"EndeDesOrdens1Erreichen","P7",1500,"[]",0.720,"German","rte; dass ein Ende nahte und in jenem letzen Moment an der Schwelle des Todes; erlangte er die Volle","NOT_FOUND","No matching quest in database"
"Tor1DurchTrickGeoeffnet","P204",11000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provoziert sie zum Kampf;","NOT_FOUND","No matching quest in database"
"Tor2DurchTrickGeoeffnet","P204",7000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provoziert sie zum Kampf;","NOT_FOUND","No matching quest in database"
"Tor3DurchTrickGeoeffnet","P204",9000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provoziert sie zum Kampf;","NOT_FOUND","No matching quest in database"
"SQCraigIstBotschafter","P204",20000,"[]",0.720,"German","Der Botschafter ist im Tempelbezirk von Empyria. Sprecht mit ihm und gebt ihm Craigs Nachricht; aber","NOT_FOUND","No matching quest in database"
"NachGraufurtPartVillage","P63",0,"[]",0.600,"English","The village Bergin is situated to the North. In the Western part; there are some knights of the orde","NOT_FOUND","No matching quest in database"
"SickHermit2Locke","P63",600,"[]",0.600,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may harm the sick hermit. ","NOT_FOUND","No matching quest in database"
"FeineStoffe3Seide","P63",400,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef","NOT_FOUND","No matching quest in database"
"FeineStoffe4Robe","P63",1100,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef","NOT_FOUND","No matching quest in database"
"AmraUndLea1Liannon1","P1",200,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor","NOT_FOUND","No matching quest in database"
"AmraUndLea1Liannon2","P1",400,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor","NOT_FOUND","No matching quest in database"
"AmraUndLea2Liannon1","P1",500,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor","NOT_FOUND","No matching quest in database"
"AmraUndLea2Liannon2","P1",300,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor","NOT_FOUND","No matching quest in database"
"DieLetztenSchuetzen1","P2",15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon seine Zangen und Pi","NOT_FOUND","No matching quest in database"
"DieLetztenSchuetzen2","P2",15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon seine Zangen und Pi","NOT_FOUND","No matching quest in database"
"DieLetztenSchuetzen3","P2",15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon seine Zangen und Pi","NOT_FOUND","No matching quest in database"
"AmWildlandPass1","P6",120,"[]",0.600,"English","One of Branningan's great armies is located in The Shiel and blocking the way to Wildland Pass. The ","NOT_FOUND","No matching quest in database"
"AmWildlandPass2","P6",160,"[]",0.600,"English","One of Branningan's great armies is located in The Shiel and blocking the way to Wildland Pass. The ","NOT_FOUND","No matching quest in database"
"FeineStoffe2Miria","P10",100,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef","NOT_FOUND","No matching quest in database"
"AufDemWall1Village1","P17",200,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorher; was ihr begonnen ","NOT_FOUND","No matching quest in database"
"AufDemWall2Village2","P17",300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorher; was ihr begonnen ","NOT_FOUND","No matching quest in database"
"AufDemWall3Village3","P17",300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorher; was ihr begonnen ","NOT_FOUND","No matching quest in database"
"AufDemWall4Village4","P17",300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorher; was ihr begonnen ","NOT_FOUND","No matching quest in database"
"DerPhoenix1Waechter","P19",1000,"[]",0.600,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"DerPhoenix6Ablieferung","P19",800,"[]",0.600,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"WolfUndDrache1","P21",200,"[]",0.600,"English","I found a wolf cub about to starve to death. Too weak to move; even.","NOT_FOUND","No matching quest in database"
"WolfUndDrache2","P21",400,"[]",0.600,"English","I found a wolf cub about to starve to death. Too weak to move; even.","NOT_FOUND","No matching quest in database"
"NachUrgath1Elfensiedlung","P27",1000,"[]",0.600,"Italian","e Portal...nach Urgath!","NOT_FOUND","No matching quest in database"
"NachUrgath2Monument","P27",1400,"[]",0.600,"Italian","e Portal...nach Urgath!","NOT_FOUND","No matching quest in database"
"NachUrgath3Archon","P27",2000,"[]",0.600,"Italian","e Portal...nach Urgath!","NOT_FOUND","No matching quest in database"
"DreiMagierZolowinFree","P102",0,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten. Die drei scheinen e","NOT_FOUND","No matching quest in database"
"DreiMagierZolowinGive","P102",55,"[]",0.600,"English","Take the stones away from Renya and Zolowin; and bring me the Crawler fetish! Then I will give you a","NOT_FOUND","No matching quest in database"
"DreiMagierGruolunGive","P102",55,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten. Die drei scheinen e","NOT_FOUND","No matching quest in database"
"DreiMagierRenyaGive","P102",35,"[]",0.600,"English","Take the stones away from Renya and Zolowin; and bring me the Crawler fetish! Then I will give you a","NOT_FOUND","No matching quest in database"
"DreiMagierZolowinSave","P102",250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten. Die drei scheinen e","NOT_FOUND","No matching quest in database"
"DreiMagierGruolunSave","P102",250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten. Die drei scheinen e","NOT_FOUND","No matching quest in database"
"DreiMagierRenyaSave","P102",250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten. Die drei scheinen e","NOT_FOUND","No matching quest in database"
"FugisBroughtToTirganach","P105",450,"[]",0.600,"English","The treasure has been found. Obviously Flink's story about the 15 guards wasn't quite true. Maybe yo","NOT_FOUND","No matching quest in database"
"SQTiondriaBuchDariusGefunden","P105",300,"[]",0.600,"German","nge! Ich bin Tiondria dicht auf der Spur! Das Buch von Darius gab mir endlich den richtigen Hinweis!","NOT_FOUND","No matching quest in database"
"SQTiondriaBuchDariusZurueck","P105",400,"[]",0.600,"German","nge! Ich bin Tiondria dicht auf der Spur! Das Buch von Darius gab mir endlich den richtigen Hinweis!","NOT_FOUND","No matching quest in database"
"P109PortalErreicht","P109",350,"[]",0.600,"Italian","Aber bis Ihr das Portal dorthin erreicht; erwartet Euch noch ein harter Kampf!","NOT_FOUND","No matching quest in database"
"AlleVierFackelnAn","P111",1000,"[]",0.600,"German","Diese Arbeiter-Rune ist aktiviert. Wird sie entfernt; so verlieren Sie alle mit ihr herbeigerufenen ","NOT_FOUND","No matching quest in database"
"ColosseumRunde01Sieg","P200",7000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde02Sieg","P200",8000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde03Sieg","P200",9000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde04Sieg","P200",10000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde05Sieg","P200",12500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde06Sieg","P200",15000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde07Sieg","P200",17500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde08Sieg","P200",20500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde09Sieg","P200",25000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"ColosseumRunde10Sieg","P200",30000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wagen wollt; fordert d","NOT_FOUND","No matching quest in database"
"TorZurStaetteOffen","P202",10000,"[]",0.600,"German","Aber so schnell gibt sich Leonidar nicht geschlagen! Ich gebe euch noch einmal Leute mit; seht zu; d","NOT_FOUND","No matching quest in database"
"AlleTrolleKommenAn","P206",12000,"[]",0.600,"English","Der Zauberer kann ein untotes Wesen unter seine Kontrolle bringen. Verbraucht alle {[0]:3;1} Sekunde","NOT_FOUND","No matching quest in database"
"KathaiStadtTorOffen","P209",8000,"[]",0.600,"English","I am Khal; commander of the children of the forest; which you also call Kathai. This is my village a","NOT_FOUND","No matching quest in database"
"XalabarInArenaBesiegt","P209",10000,"[]",0.600,"English","Enter the arena and defeat Xalabar","NOT_FOUND","No matching quest in database"
"EntryMenhirComboCorrect","P210",3500,"[]",0.600,"English","Correct! And you could attack them from behind with your army! There is an unguarded entry to their ","NOT_FOUND","No matching quest in database"
"LastChestInRoom5Opened","P210",20000,"[]",0.600,"English","(The coin drops into the slot. The last latch pushes aside. The chest can now be opened.)","NOT_FOUND","No matching quest in database"
"AirCoinPassageOpened","P210",15000,"[]",0.600,"English","ui_item_quest_coin_air","NOT_FOUND","No matching quest in database"
"SceptreOfWindsFound","P210",20000,"[]",0.600,"English","And we must find the Sceptre of the Winds! Without it we cannot return to our people!","NOT_FOUND","No matching quest in database"
"DschungelCamp1Killed","P211",7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp.","NOT_FOUND","No matching quest in database"
"DschungelCamp2Killed","P211",7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp.","NOT_FOUND","No matching quest in database"
"DschungelCamp3Killed","P211",7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp.","NOT_FOUND","No matching quest in database"
"DschungelCamp4Killed","P211",10000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp.","NOT_FOUND","No matching quest in database"
"EchosGoran","P63",700,"[]",0.500,"English","Talk to Goran about the strange words.","NOT_FOUND","No matching quest in database"
