Reward_Name,Platform,Quest_ID,XP,Items,Confidence,Language,Quest_Text_Preview
"AufDemWall1Village1","P17",249,200,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorhe"
"AufDemWall2Village2","P17",NOT_FOUND,300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorhe"
"AufDemWall3Village3","P17",258,300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorhe"
"AufDemWall4Village4","P17",250,300,"[]",0.600,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorhe"
"DerPhoenix1Waechter","P19",308,1000,"[]",0.600,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the"
"DerPhoenix6Ablieferung","P19",322,800,"[]",0.600,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the"
"WolfUndDrache1","P21",274,200,"[]",0.600,"English","I found a wolf cub about to starve to death. Too weak to move; even."
"WolfUndDrache2","P21",NOT_FOUND,400,"[]",0.600,"English","I found a wolf cub about to starve to death. Too weak to move; even."
"NachUrgath1Elfensiedlung","P27",NOT_FOUND,1000,"[]",0.600,"Italian","e Portal...nach Urgath!"
"NachUrgath2Monument","P27",537,1400,"[]",0.600,"Italian","e Portal...nach Urgath!"
"NachUrgath3Archon","P27",NOT_FOUND,2000,"[]",0.600,"Italian","e Portal...nach Urgath!"
"DreiMagierZolowinFree","P102",634,0,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten."
"DreiMagierZolowinGive","P102",NOT_FOUND,55,"[]",0.600,"English","Take the stones away from Renya and Zolowin; and bring me the Crawler fetish! Th"
"DreiMagierGruolunGive","P102",636,55,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten."
"DreiMagierRenyaGive","P102",635,35,"[]",0.600,"English","Take the stones away from Renya and Zolowin; and bring me the Crawler fetish! Th"
"DreiMagierZolowinSave","P102",NOT_FOUND,250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten."
"DreiMagierGruolunSave","P102",NOT_FOUND,250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten."
"DreiMagierRenyaSave","P102",NOT_FOUND,250,"[]",0.600,"German","Drei seltsame Magier werden in den Sturmfelsen von den Kithar gefangen gehalten."
"FugisBroughtToTirganach","P105",691,450,"[]",0.600,"English","The treasure has been found. Obviously Flink's story about the 15 guards wasn't "
"SQTiondriaBuchDariusGefunden","P105",701,300,"[]",0.600,"German","nge! Ich bin Tiondria dicht auf der Spur! Das Buch von Darius gab mir endlich de"
"SQTiondriaBuchDariusZurueck","P105",NOT_FOUND,400,"[]",0.600,"German","nge! Ich bin Tiondria dicht auf der Spur! Das Buch von Darius gab mir endlich de"
"P109PortalErreicht","P109",NOT_FOUND,350,"[]",0.600,"Italian","Aber bis Ihr das Portal dorthin erreicht; erwartet Euch noch ein harter Kampf!"
"AlleVierFackelnAn","P111",675,1000,"[]",0.600,"German","Diese Arbeiter-Rune ist aktiviert. Wird sie entfernt; so verlieren Sie alle mit "
"ColosseumRunde01Sieg","P200",NOT_FOUND,7000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde02Sieg","P200",NOT_FOUND,8000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde03Sieg","P200",NOT_FOUND,9000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde04Sieg","P200",NOT_FOUND,10000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde05Sieg","P200",NOT_FOUND,12500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde06Sieg","P200",NOT_FOUND,15000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde07Sieg","P200",NOT_FOUND,17500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde08Sieg","P200",NOT_FOUND,20500,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde09Sieg","P200",NOT_FOUND,25000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"ColosseumRunde10Sieg","P200",1103,30000,"[]",0.600,"German","ne des Colosseums um Eure Belohnung zu erhalten. Falls Ihr eine weitere Runde wa"
"TorZurStaetteOffen","P202",845,10000,"[]",0.600,"German","Aber so schnell gibt sich Leonidar nicht geschlagen! Ich gebe euch noch einmal L"
"AlleTrolleKommenAn","P206",820,12000,"[]",0.600,"English","Der Zauberer kann ein untotes Wesen unter seine Kontrolle bringen. Verbraucht al"
"KathaiStadtTorOffen","P209",784,8000,"[]",0.600,"English","I am Khal; commander of the children of the forest; which you also call Kathai. "
"XalabarInArenaBesiegt","P209",791,10000,"[]",0.600,"English","Enter the arena and defeat Xalabar"
"EntryMenhirComboCorrect","P210",NOT_FOUND,3500,"[]",0.600,"English","Correct! And you could attack them from behind with your army! There is an ungua"
"LastChestInRoom5Opened","P210",NOT_FOUND,20000,"[]",0.600,"English","(The coin drops into the slot. The last latch pushes aside. The chest can now be"
"AirCoinPassageOpened","P210",NOT_FOUND,15000,"[]",0.600,"English","ui_item_quest_coin_air"
"SceptreOfWindsFound","P210",NOT_FOUND,20000,"[]",0.600,"English","And we must find the Sceptre of the Winds! Without it we cannot return to our pe"
"DschungelCamp1Killed","P211",NOT_FOUND,7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp."
"DschungelCamp2Killed","P211",NOT_FOUND,7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp."
"DschungelCamp3Killed","P211",NOT_FOUND,7000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp."
"DschungelCamp4Killed","P211",NOT_FOUND,10000,"[]",0.600,"English","As soon as Seth has killed Briar; advance to the base camp."
"EchosGoran","P63",330,700,"[]",0.500,"English","Talk to Goran about the strange words."
"TricksterReturn","P63",NOT_FOUND,1000,"[]",0.500,"English","ui_item_quest_hadekodoll_trickster"
"EchosBuch","P1",NOT_FOUND,200,"[]",0.500,"English","QuestItem Buch des Shan Tar Guar"
"DieFreihaendler","P2",66,20,"[]",0.500,"English","Talk to one of the soldiers in order to open the gate to Eloni."
"Marcia1","P9",121,150,"[]",0.500,"English","Marcia; the messenger of the order; is in Stonewell preparing the city for anoth"
"GwensMedizin","P17",NOT_FOUND,600,"[]",0.500,"English","Sunder Dundrew; Gwens Father; is waiting wistfully for the medicine. It should b"
"WumpusKilled","P101",NOT_FOUND,550,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those"
"JaninaBefreit","P102",NOT_FOUND,65,"[]",0.500,"English","Bring Janina to Hulu in the camp of the Skerg in the East"
"HuluErreicht","P102",NOT_FOUND,65,"[]",0.500,"English","Bring Janina to Hulu in the camp of the Skerg in the East"
"SetriusErreicht","P102",NOT_FOUND,65,"[]",0.500,"English","Bring Janina to Setrius in the Northeast"
"WaldschrateKilled","P103",593,250,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those"
"GeistercampBesiegt","P107",NOT_FOUND,1150,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohe"
"AnfuehrerBesiegt","P107",NOT_FOUND,1150,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohe"
"WindjalfBefreit","P108",NOT_FOUND,1150,"[]",0.500,"English","Defeat Gorg and set Windjalf free from the cave."
"ZwergeBefreit","P109",NOT_FOUND,550,"[]",0.500,"English","Ich bringe Kunde vom Hetman der Zwerge."
"TorZerstoert","P109",693,750,"[]",0.500,"English","ui_btn_build_troll_corpsecollector"
"GrimBesiegt","P110",NOT_FOUND,750,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohe"
"ElementBeschworen","P111",NOT_FOUND,600,"[]",0.500,"English","Elemental Magic is dedicated to controlling the elements fire; ice and earth. Hi"
"DracheGetoetet","P115",670,5000,"[]",0.500,"English","QuestItem Drachenblut"
"UriasBefreit","P201",775,8000,"[]",0.500,"English","The order warrior Urias knows more about Hokan and his myrmidons. He commands th"
"CampsZerstoert","P201",777,15000,"[]",0.500,"English","The way to the east is being guarded by Brannigan's armies. In the North and the"
"GurimLebt","P201",NOT_FOUND,5000,"[]",0.500,"English","Talk to Gurim in the Western part of the Blackwater Coast once again"
"WachgeistTot","P202",NOT_FOUND,4000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new "
"OpferFreigelassen","P202",1049,6000,"[]",0.500,"English","ume seiner Opfer. Bringt es  zu mir; wenn ihr erfolgreich wart. Wenn iche s stud"
"AschetaenzerTot","P202",NOT_FOUND,12000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new "
"BlockadeDurchbrochen","P203",803,10000,"[]",0.500,"English","All of them! The whole army! Every knight; every esquire! They will break throug"
"LichkoenigTot","P203",802,4000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new "
"TantaroGefunden","P203",1029,5000,"[]",0.500,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!"
"FlinkAbgeliefert","P204",NOT_FOUND,5500,"[]",0.500,"English","Flink McWinter describes himself as a nomad; but also seems to be involved in so"
"PalastgartenErreicht","P204",816,10000,"[]",0.500,"English","nnt mich in den Palastgarten bringen?"
"GartenEntgiftet","P205",NOT_FOUND,10000,"[]",0.500,"English","nnt mich in den Palastgarten bringen?"
"RastplatzGefunden","P206",819,4500,"[]",0.500,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!"
"FalleAusgeloest","P206",822,7000,"[]",0.500,"English","A restless shadow stalked the land near the old mine in the East of Liannon. It "
"UntotenlagerNord","P209",NOT_FOUND,9000,"[]",0.500,"English","Da qualche parte a nordovest troverai uno dei tre accampamenti nemici. Questo se"
"UntotenlagerWest","P209",NOT_FOUND,9000,"[]",0.500,"English","Brannigan's old headquarters reign over the Northwest of the Forest of Shadows. "
"UntotenlagerSued","P209",NOT_FOUND,9000,"[]",0.500,"English","I could see them as long as I had my ring! But they pursued me! Wherever I went!"
"CraigBefreit","P211",1061,10000,"[]",0.500,"English","Trygar claims; only Craig could know something about Amra's places of residence."
"MiniforgersKilled","P212",958,30000,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those"
"HeldenErschaffen","P101",588,45,"[]",0.500,"Italian","ne ... Ein Portal will er erschaffen?"
"SchattenringBekommen","P111",673,500,"[]",0.500,"Italian","Warum habt ihr nichts unternommen um das Portal wieder frei zu bekommen?"
"ZahnbrechersZangen","P63",371,35,"[]",0.500,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon"
"SchattenweltShadowpulse","P63",NOT_FOUND,500,"[]",0.500,"German","ber die Schattenwelt. Erstaunlich!"
"Drachenpanzer1","P63",NOT_FOUND,100,"[]",0.500,"German","berleben - dann kommt wieder zu mir! Ich werde Euch einen Drachenpanzer formen!"
"Drachenpanzer2","P63",NOT_FOUND,800,"[]",0.500,"German","berleben - dann kommt wieder zu mir! Ich werde Euch einen Drachenpanzer formen!"
"Bannwerk1","P4",NOT_FOUND,60,"[]",0.500,"German","r ein Bannwerk; von dem Ihr spracht?"
"Bannwerk2","P4",97,60,"[]",0.500,"German","r ein Bannwerk; von dem Ihr spracht?"
"Erdenklinge2","P10",NOT_FOUND,200,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!"
"Erdenklinge3","P10",170,400,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!"
"Erdenklinge4","P10",NOT_FOUND,400,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!"
