Quest_ID,Quest_Name,Platform,Description_Preview,Reward_Match_Here
239,"Quest 239","P15","Öffnet das Tor!",
240,"Quest 240","P15","Das ist das Ende Deiner Reise! Du wirst meinen Herrn nie erreichen!",
241,"Quest 241","P15","Das ist das Ende Deiner Reise! Du wirst meinen Herrn nie erreichen!",
391,"Quest 391","P15","",
421,"Quest 421","P15","(In den Spalt hineingreifen.)",
422,"Quest 422","P15","",
308,"Quest 308","P19","",
319,"Quest 319","P19","Einst diente ich dem Zirkel! Nun wache ich über die mächtigen Schätze Mulandirs.",
320,"Quest 320","P19","Ich suche den Phönixstein!",
321,"Quest 321","P19","Ich suche den Phönixstein!",
553,"Quest 553","P19","",
1099,"Quest 1099","P200","Applaus! Der Gewinner dieser Runde ist: Der Runenkrieger!",
1100,"Quest 1100","P200","Applaus! Der Gewinner dieser Runde ist: Der Runenkrieger!",
1101,"Quest 1101","P200","Applaus! Der Gewinner dieser Runde ist: Der Runenkrieger!",
1102,"Quest 1102","P200","Applaus! Der Gewinner dieser Runde ist: Der Runenkrieger!",
1103,"Quest 1103","P200","Applaus! Der Gewinner dieser Runde ist: Der Runenkrieger!",
775,"Quest 775","P201","Ihr müsst den Ring an Eurem Finger tragen; damit er wirken kann!",
776,"Quest 776","P201","Ihr müsst den Ring an Eurem Finger tragen; damit er wirken kann!",
777,"Quest 777","P201","Ihr müsst den Ring an Eurem Finger tragen; damit er wirken kann!",
833,"Quest 833","P201","Isgrimm; ich verfluche dich!",
834,"Quest 834","P201","Isgrimm; ich verfluche dich!",
835,"Quest 835","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
836,"Quest 836","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
837,"Quest 837","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
838,"Quest 838","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
839,"Quest 839","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
840,"Quest 840","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
841,"Quest 841","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
842,"Quest 842","P201","Laurin ist erschlagen! Nehmt Glamrigs Rune!",
893,"Quest 893","P201","Ihr müsst den Ring an Eurem Finger tragen; damit er wirken kann!",
1088,"Quest 1088","P201","",
826,"Hokans Auftrag","P202","Nun; bereit für Eure Aufgabe?",
827,"Quest 827","P202","",
828,"Quest 828","P202","",
829,"das Geheimnis der Stadt","P202","Nun; bereit für Eure Aufgabe?",
830,"Quest 830","P202","",
831,"Q Die Dryade","P202","Nun; bereit für Eure Aufgabe?",
832,"rückzug","P202","Nun; bereit für Eure Aufgabe?",
844,"hl Stätte CoS","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
845,"Quest 845","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
928,"Quest 928","P202","Es ist vorbei; endlich!",
929,"Quest 929","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
930,"Quest 930","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
931,"Quest 931","P202","Endlich finde ich Frieden!",
932,"Quest 932","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
933,"Quest 933","P202","Es ist vorbei; endlich!",
993,"Quest 993","P202"," Auf jeden Fall sollt Ihr erst einmal Eure Entlohnung erhalten! Hier!",
994,"Quest: Sammle alle Hadeko-Puppen","P202","",
995,"Quest: Finde den Helden","P202","",
996,"Quest: Finde den Trickster","P202","",
997,"Quest: Finde den Mentor","P202","",
998,"Quest: Finde den Torwächter","P202","",
999,"Quest: Finde den Schatten","P202","",
1000,"Quest: Finde den Erzmagier","P202","",
1001,"Quest 1001","P202"," Auf jeden Fall sollt Ihr erst einmal Eure Entlohnung erhalten! Hier!",
1047,"Quest 1047","P202","",
1048,"Quest 1048","P202","",
1049,"Quest 1049","P202","",
1050,"Quest 1050","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
1056,"zurück zur Dryade2","P202","Das heilige Wasser aus Eurem Behälter ist vollständig verdunstet!",
1085,"Quest 1085","P202","Nun; bereit für Eure Aufgabe?",
1087,"Quest 1087","P202","",
1090,"Quest 1090","P202","",
1091,"Quest 1091","P202","",
810,"Quest 810","P205","Das Wasser ist wieder rein! Der Hain ist gerettet!",
843,"Quest 843","P205","",
846,"Quest 846","P205","",
847,"Quest 847","P205","",
865,"Quest 865","P205","Das Wasser ist wieder rein! Der Hain ist gerettet!",
866,"Quest 866","P205","",
867,"Quest 867","P205","Das Wasser ist wieder rein! Der Hain ist gerettet!",
868,"Quest 868","P205","",
869,"Quest 869","P205","",
870,"Quest 870","P205","(Das Gegengift löst die ölige Flüssigkeit auf und wird von der Quelle aus schnel",
871,"Quest 871","P205","Das Wasser ist wieder rein! Der Hain ist gerettet!",
872,"Quest 872","P205","Errinnert Ihr Euch nicht? Es ist der Nekromant; dessen Geist Ihr damals die Mask",
876,"Quest 876","P205","",
877,"Quest 877","P205","",
881,"Quest 881","P205","",
940,"Quest 940","P205","",
943,"Quest 943","P205","",
947,"Quest 947","P205","",
948,"Quest 948","P205","",
949,"Quest 949","P205","",
950,"Quest 950","P205","",
970,"Quest 970","P205","",
1042,"Quest 1042","P205","Warum seid Ihr hier gefangen?",
1043,"erhält Subquest "Gehe zu Serbio"","P205","Er ist Euch sehr dankbar! ich glaube; er hat Euch lieb gewonnen.",
1044,"Quest 1044","P205","Was ist das für eine Kreatur?",
1045,"Quest 1045","P205","Wo finde ich sie?",
1046,"Quest 1046","P205","(Traurig blickt der Irfit dem Kristall hinterher; als Ihr ihn wieder einsteckt.)",
1051,"Quest 1051","P205","Hier; die Samen. Gebt gut auf sie acht; sie sind wie meine Kinder.",
1052,"Quest 1052","P205","Hier; die Samen. Gebt gut auf sie acht; sie sind wie meine Kinder.",
1053,"Quest 1053","P205","Hier; die Samen. Gebt gut auf sie acht; sie sind wie meine Kinder.",
1054,"Quest 1054","P205","Hier; die Samen. Gebt gut auf sie acht; sie sind wie meine Kinder.",
1055,"Quest 1055","P205","Jetzt ist es vollbracht! Ihr habt die Wunden des Landes geschlossen! Ich danke E",
1080,"Quest 1080","P205","(Traurig blickt der Irfit dem Kristall hinterher; als Ihr ihn wieder einsteckt.)",
1089,"Quest 1089","P205","",
1092,"Quest 1092","P205","",
818,"Quest 818","P206","Wir bleiben erst mal hier; bis der Weg durch die Wüste frei ist",
819,"Quest 819","P206","Wir bleiben erst mal hier; bis der Weg durch die Wüste frei ist",
820,"Quest 820","P206","Das war falsch; Alyah! Wir hätten dem Botschafter helfen sollen!",
821,"Quest 821","P206","Das war falsch; Alyah! Wir hätten dem Botschafter helfen sollen!",
822,"Quest 822","P206","Die Gazeda sind fort! Träger; marsch!",
823,"Quest 823","P206","Die Gazeda sind fort! Träger; marsch!",
824,"Quest 824","P206","Die Gazeda sind fort! Träger; marsch!",
825,"Quest 825","P206","Das war falsch; Alyah! Wir hätten dem Botschafter helfen sollen!",
886,"Quest 886","P206","",
887,"Quest 887","P206","Das war falsch; Alyah! Wir hätten dem Botschafter helfen sollen!",
891,"Quest 891","P206","Das war falsch; Alyah! Wir hätten dem Botschafter helfen sollen!",
973,"Quest 973 aktivieren","P207","",
975,"Quest 975 aktivieren / gelöst in n10662.lua +nächste Auftrag","P207","",
976,"Quest 976","P207","",
977,"Quest 977","P207","Niethalfs Bart; bin ich froh Euch zu sehen! Hatte schon nicht mehr auf Rettung g",
978,"Quest 978","P207","",
979,"Quest 979","P207","Niethalfs Bart; bin ich froh Euch zu sehen! Hatte schon nicht mehr auf Rettung g",
980,"Quest 980","P207","",
981,"Quest 981","P207","",
982,"Quest 982","P207","",
983,"Quest 983","P207","",
985,"Quest 985","P207","",
986,"Quest 986","P207","",
987,"Quest 987","P207","",
988,"Quest 988","P207","",
989,"Quest 989","P207","",
990,"Quest 990","P207","",
991,"Quest 991","P207","",
992,"Quest 992","P207","",
1032,"Quest 1032","P207","",
1098,"Quest 1098","P207","",
848,"Quest 848","P208","",
849,"Quest 849","P208","Hm; das Wasser scheint etwas zu bewirken!",
850,"Quest 850","P208","Hm; das Wasser scheint etwas zu bewirken!",
851,"Quest 851","P208","Hm; das Wasser scheint etwas zu bewirken!",
852,"Quest 852","P208","Hm; das Wasser scheint etwas zu bewirken!",
853,"Quest 853","P208","Hm; das Wasser scheint etwas zu bewirken!",
854,"Quest 854","P208","Hm; das Wasser scheint etwas zu bewirken!",
855,"Quest 855","P208","",
856,"Quest 856","P208","Hm; das Wasser scheint etwas zu bewirken!",
857,"Quest 857","P208","Hm; das Wasser scheint etwas zu bewirken!",
858,"Quest 858","P208","Hm; das Wasser scheint etwas zu bewirken!",
859,"Quest 859","P208","Hm; das Wasser scheint etwas zu bewirken!",
860,"Quest 860","P208","Hm; das Wasser scheint etwas zu bewirken!",
861,"Quest 861","P208","Hm; das Wasser scheint etwas zu bewirken!",
862,"Quest 862","P208","Hm; das Wasser scheint etwas zu bewirken!",
863,"Quest 863","P208","Hm; das Wasser scheint etwas zu bewirken!",
1059,"Quest 1059","P208","Hm; das Wasser scheint etwas zu bewirken!",
1060,"Quest 1060","P208","Da; er frisst von der Leiche! Was es wohl bewirkt?",
1077,"Quest 1077","P208","Hm; das Wasser scheint etwas zu bewirken!",
1078,"Quest 1078","P208","Das Duell beginnt.",
